auc,auctime,datatime,maxdepth,mincount,model,nterms,ntest,ntrain,predicttime,traintime
0.628154852929194,0.431135698,2.636624742,1024,255,taiga-mvp,127,131072,32768,3.404244418,5.201051715
0.6423235838192154,0.244647161,4.536575511,1024,255,taiga-pfp,127,131072,32768,3.619431549,3.973240001
0.6414416220109381,0.047590064,5.040287507,1024,255,taiga-mvp,127,131072,131072,3.776731007,25.8152721
0.6555684203703698,0.082879742,6.578860327,1024,255,taiga-pfp,127,131072,131072,4.253618823,25.513143874
0.6473546931994875,0.104392475,8.125982883,1024,255,taiga-mvp,127,131072,524288,4.395779286,147.343257761
0.665811958138374,0.083218158,9.738372614,1024,255,taiga-pfp,127,131072,524288,5.024699236,147.847880708
0.6448306377480946,0.044645703,27.70181789,1024,255,taiga-mvp,127,131072,2097152,5.151414381,857.423421061
0.6686981033333829,0.094342478,27.011680445,1024,255,taiga-pfp,127,131072,2097152,5.990875177,848.459401427
0.6421774375661324,0.043556063,83.838492227,1024,255,taiga-mvp,127,131072,8388608,6.130120451,5294.118656986
0.6717608420506607,0.082740073,88.07706687,1024,255,taiga-pfp,127,131072,8388608,7.013085526,5159.84591622
0.6441036322354056,0.044576415,310.918676678,1024,255,taiga-mvp,127,131072,33554432,7.118885271,35186.751295862
0.6710140390235104,0.198879728,318.417770468,1024,255,taiga-pfp,127,131072,33554432,8.325643372,35292.16954478
